who,what,when,where,sentences
Richard,doughnuts,last Thursday,in the garden,Richard ate doughnuts last Thursday in the garden.
Matthew,cereal,one hour ago,in the station,Matthew ate cereal one hour ago in the station.
Jessica,hamburger,last night,at the cafe,Jessica ate hamburger last night at the cafe.
Linda,soup,this afternoon,in the garden,Linda ate soup this afternoon in the garden.
David,carbonara,yesterday,at the mall,David ate carbonara yesterday at the mall.
Ben,banana,this weekend,at the cafe,Ben ate banana this weekend at the cafe.
Olivia,chicken wings,last winter,in the office,Olivia ate chicken wings last winter in the office.
Hannah,cereal,last night,at the mall,Hannah ate cereal last night at the mall.
Lauren,pasta,recently,in the office,Lauren ate pasta recently in the office.
Joseph,toast,two hours ago,at the cafe,Joseph ate toast two hours ago at the cafe.
John,beef,last Sunday,on the rooftop,John ate beef last Sunday on the rooftop.
Paul,lasagna,lately,in the park,Paul ate lasagna lately in the park.
Anna,hot dog,last Friday,in the garden,Anna ate hot dog last Friday in the garden.
Hannah,apple pie,this weekend,in the office,Hannah ate apple pie this weekend in the office.
Lauren,ravioli,last Saturday,in the office,Lauren ate ravioli last Saturday in the office.
Lucas,rice,this evening,in the office,Lucas ate rice this evening in the office.
Alice,hot dog,last summer,at the school,Alice ate hot dog last summer at the school.
Chris,spaghetti,this evening,in the park,Chris ate spaghetti this evening in the park.
Daniel,cereal,last spring,on the rooftop,Daniel ate cereal last spring on the rooftop.
Mark,ravioli,last Thursday,in the kitchen,Mark ate ravioli last Thursday in the kitchen.
Robert,doughnuts,this weekend,in the park,Robert ate doughnuts this weekend in the park.
Sarah,tacos,this evening,in the station,Sarah ate tacos this evening in the station.
Olivia,hamburger,this evening,at the mall,Olivia ate hamburger this evening at the mall.
Kimberly,hamburger,last week,on the rooftop,Kimberly ate hamburger last week on the rooftop.
Lucas,pancakes,two hours ago,in the park,Lucas ate pancakes two hours ago in the park.
Sarah,steak,last month,on the rooftop,Sarah ate steak last month on the rooftop.
Olivia,salad,this weekend,in the park,Olivia ate salad this weekend in the park.
Daniel,risotto,last fall,in the garden,Daniel ate risotto last fall in the garden.
Sam,rice,one hour ago,at the mall,Sam ate rice one hour ago at the mall.
John,pasta,last fall,in the kitchen,John ate pasta last fall in the kitchen.
William,tacos,recently,on the rooftop,William ate tacos recently on the rooftop.
Rachel,toast,last summer,at the mall,Rachel ate toast last summer at the mall.
Daniel,banana,one hour ago,on the rooftop,Daniel ate banana one hour ago on the rooftop.
Matthew,waffles,two hours ago,in the garden,Matthew ate waffles two hours ago in the garden.
Lucas,noodle,recently,at the school,Lucas ate noodle recently at the school.
Paul,steak,last summer,in the park,Paul ate steak last summer in the park.
Elizabeth,apple pie,recently,on the rooftop,Elizabeth ate apple pie recently on the rooftop.
Lauren,bread,this evening,at the restaurant,Lauren ate bread this evening at the restaurant.
Mark,fried chicken,last winter,in the office,Mark ate fried chicken last winter in the office.
Sarah,nachos,last week,at the school,Sarah ate nachos last week at the school.
Daniel,hot dog,this afternoon,in the station,Daniel ate hot dog this afternoon in the station.
Matthew,salad,this evening,at the restaurant,Matthew ate salad this evening at the restaurant.
Claire,pizza,this weekend,at the school,Claire ate pizza this weekend at the school.
Sophie,pizza,yesterday,in the park,Sophie ate pizza yesterday in the park.
Karen,risotto,last Tuesday,in the kitchen,Karen ate risotto last Tuesday in the kitchen.
Charles,curry,last month,in the kitchen,Charles ate curry last month in the kitchen.
Thomas,salad,recently,in the park,Thomas ate salad recently in the park.
Alice,falafel,this afternoon,in the kitchen,Alice ate falafel this afternoon in the kitchen.
David,wok,last Saturday,in the station,David ate wok last Saturday in the station.
Matthew,beef,last Sunday,in the park,Matthew ate beef last Sunday in the park.
Joseph,omelette,last spring,in the office,Joseph ate omelette last spring in the office.
Olivia,fish,last Monday,at the school,Olivia ate fish last Monday at the school.
Jessica,cheese,lately,in the station,Jessica ate cheese lately in the station.
Jason,steak,recently,in the station,Jason ate steak recently in the station.
Elizabeth,tacos,last year,at the restaurant,Elizabeth ate tacos last year at the restaurant.
Richard,sushi,today,in the kitchen,Richard ate sushi today in the kitchen.
Rachel,waffles,yesterday,at the restaurant,Rachel ate waffles yesterday at the restaurant.
Sophie,burrito,last night,in the park,Sophie ate burrito last night in the park.
Robert,toast,last Thursday,at the mall,Robert ate toast last Thursday at the mall.
Richard,waffles,this afternoon,on the rooftop,Richard ate waffles this afternoon on the rooftop.
Mary,biscuits,last month,at the mall,Mary ate biscuits last month at the mall.
Claire,steak,this afternoon,in the kitchen,Claire ate steak this afternoon in the kitchen.
Julia,lasagna,last Thursday,in the kitchen,Julia ate lasagna last Thursday in the kitchen.
Lauren,sushi,lately,in the station,Lauren ate sushi lately in the station.
James,tacos,yesterday,on the rooftop,James ate tacos yesterday on the rooftop.
James,cake,lately,at the school,James ate cake lately at the school.
Karen,noodle,last year,in the park,Karen ate noodle last year in the park.
Emma,potatoes,last fall,at the mall,Emma ate potatoes last fall at the mall.
Lucas,bread,last winter,in the office,Lucas ate bread last winter in the office.
Jessica,banana,this afternoon,at the cafe,Jessica ate banana this afternoon at the cafe.
Alice,banana,last week,at the cafe,Alice ate banana last week at the cafe.
Daniel,salad,last spring,at the mall,Daniel ate salad last spring at the mall.
Jason,cake,last summer,in the office,Jason ate cake last summer in the office.
Michael,doughnuts,last Saturday,in the kitchen,Michael ate doughnuts last Saturday in the kitchen.
Julia,lasagna,this evening,in the kitchen,Julia ate lasagna this evening in the kitchen.
Joseph,sandwich,this morning,at the restaurant,Joseph ate sandwich this morning at the restaurant.
Jennifer,cake,last Tuesday,on the rooftop,Jennifer ate cake last Tuesday on the rooftop.
David,fish,two hours ago,in the station,David ate fish two hours ago in the station.
James,waffles,last Tuesday,on the rooftop,James ate waffles last Tuesday on the rooftop.
Robert,curry,this evening,in the station,Robert ate curry this evening in the station.
Jason,steak,lately,on the rooftop,Jason ate steak lately on the rooftop.
Robert,pancakes,last Friday,at the restaurant,Robert ate pancakes last Friday at the restaurant.
Jessica,omelette,this evening,in the office,Jessica ate omelette this evening in the office.
Anna,salad,last Saturday,in the office,Anna ate salad last Saturday in the office.
Elizabeth,pancakes,today,in the park,Elizabeth ate pancakes today in the park.
Alice,falafel,this afternoon,on the rooftop,Alice ate falafel this afternoon on the rooftop.
Mary,potatoes,last week,at the mall,Mary ate potatoes last week at the mall.
John,fried chicken,this afternoon,in the office,John ate fried chicken this afternoon in the office.
Lauren,beef,this evening,in the garden,Lauren ate beef this evening in the garden.
Ben,hamburger,this morning,in the garden,Ben ate hamburger this morning in the garden.
Julia,chicken wings,lately,in the park,Julia ate chicken wings lately in the park.
Karen,risotto,one hour ago,at the cafe,Karen ate risotto one hour ago at the cafe.
Karen,wok,yesterday,at the cafe,Karen ate wok yesterday at the cafe.
Anna,falafel,last Thursday,at the restaurant,Anna ate falafel last Thursday at the restaurant.
Karen,fried chicken,this morning,at the school,Karen ate fried chicken this morning at the school.
Joseph,burrito,last night,at the restaurant,Joseph ate burrito last night at the restaurant.
Lauren,pizza,last fall,in the station,Lauren ate pizza last fall in the station.
Richard,salad,this morning,in the office,Richard ate salad this morning in the office.
James,fried chicken,today,in the park,James ate fried chicken today in the park.
Michael,nachos,last month,on the rooftop,Michael ate nachos last month on the rooftop.
Michael,fish,last Sunday,at the cafe,Michael ate fish last Sunday at the cafe.
Sam,pizza,last week,in the park,Sam ate pizza last week in the park.
Sam,cake,yesterday,in the office,Sam ate cake yesterday in the office.
Elizabeth,soup,yesterday,in the garden,Elizabeth ate soup yesterday in the garden.
Joseph,soup,last year,at the cafe,Joseph ate soup last year at the cafe.
Linda,burrito,last Friday,on the rooftop,Linda ate burrito last Friday on the rooftop.
Julia,sushi,last Saturday,in the station,Julia ate sushi last Saturday in the station.
Mary,biscuits,last Wednesday,on the rooftop,Mary ate biscuits last Wednesday on the rooftop.
Linda,sandwich,last Monday,on the rooftop,Linda ate sandwich last Monday on the rooftop.
Chris,steak,last Thursday,at the school,Chris ate steak last Thursday at the school.
Mary,cake,last fall,in the garden,Mary ate cake last fall in the garden.
Alice,biscuits,last month,in the park,Alice ate biscuits last month in the park.
Chris,fish,last night,in the park,Chris ate fish last night in the park.
Mary,potatoes,today,at the cafe,Mary ate potatoes today at the cafe.
Richard,cake,last Saturday,in the park,Richard ate cake last Saturday in the park.
Karen,burrito,recently,in the office,Karen ate burrito recently in the office.
Michael,falafel,two hours ago,in the kitchen,Michael ate falafel two hours ago in the kitchen.
Ethan,falafel,yesterday,in the park,Ethan ate falafel yesterday in the park.
William,cake,this morning,in the garden,William ate cake this morning in the garden.
Mary,lasagna,last night,in the park,Mary ate lasagna last night in the park.
Jason,pizza,last Sunday,at the cafe,Jason ate pizza last Sunday at the cafe.
Hannah,salad,last Friday,at the restaurant,Hannah ate salad last Friday at the restaurant.
Michael,sushi,two hours ago,at the mall,Michael ate sushi two hours ago at the mall.
Emma,salad,lately,at the restaurant,Emma ate salad lately at the restaurant.
Paul,salad,recently,on the rooftop,Paul ate salad recently on the rooftop.
Sarah,sandwich,last Monday,in the park,Sarah ate sandwich last Monday in the park.
Lisa,hamburger,last summer,in the park,Lisa ate hamburger last summer in the park.
Karen,carbonara,last year,at the cafe,Karen ate carbonara last year at the cafe.
Jason,doughnuts,last Monday,at the cafe,Jason ate doughnuts last Monday at the cafe.
Rachel,cheese,one hour ago,in the park,Rachel ate cheese one hour ago in the park.
Ethan,nachos,this weekend,in the office,Ethan ate nachos this weekend in the office.
Emily,fried chicken,today,in the garden,Emily ate fried chicken today in the garden.
Jennifer,cake,one hour ago,in the kitchen,Jennifer ate cake one hour ago in the kitchen.
Paul,tacos,last fall,at the mall,Paul ate tacos last fall at the mall.
Mark,risotto,two hours ago,in the park,Mark ate risotto two hours ago in the park.
Chris,ravioli,last Tuesday,at the mall,Chris ate ravioli last Tuesday at the mall.
Jennifer,pancakes,last Friday,on the rooftop,Jennifer ate pancakes last Friday on the rooftop.
Thomas,tacos,last Saturday,in the station,Thomas ate tacos last Saturday in the station.
Ben,beef,last Thursday,in the park,Ben ate beef last Thursday in the park.
Paul,sandwich,last Thursday,on the rooftop,Paul ate sandwich last Thursday on the rooftop.
Jessica,fish,last summer,at the school,Jessica ate fish last summer at the school.
Rachel,bread,last Friday,in the office,Rachel ate bread last Friday in the office.
Julia,rice,last Friday,at the school,Julia ate rice last Friday at the school.
Sam,doughnuts,this morning,in the office,Sam ate doughnuts this morning in the office.
Joseph,risotto,last Tuesday,on the rooftop,Joseph ate risotto last Tuesday on the rooftop.
John,rice,last Sunday,at the mall,John ate rice last Sunday at the mall.
Mary,lasagna,last winter,in the park,Mary ate lasagna last winter in the park.
Jennifer,steak,recently,at the restaurant,Jennifer ate steak recently at the restaurant.
William,pasta,recently,at the restaurant,William ate pasta recently at the restaurant.
Elizabeth,waffles,last fall,in the station,Elizabeth ate waffles last fall in the station.
Emma,hot dog,last summer,at the cafe,Emma ate hot dog last summer at the cafe.
Matthew,soup,last Thursday,in the kitchen,Matthew ate soup last Thursday in the kitchen.
James,cereal,last Friday,in the garden,James ate cereal last Friday in the garden.
Mary,carbonara,today,in the park,Mary ate carbonara today in the park.
Claire,fish,this weekend,at the cafe,Claire ate fish this weekend at the cafe.
Julia,carbonara,last winter,on the rooftop,Julia ate carbonara last winter on the rooftop.
Sarah,hot dog,last Tuesday,at the restaurant,Sarah ate hot dog last Tuesday at the restaurant.
Lucas,burrito,last month,at the cafe,Lucas ate burrito last month at the cafe.
Robert,pasta,lately,in the station,Robert ate pasta lately in the station.
Ethan,fish,last Friday,in the kitchen,Ethan ate fish last Friday in the kitchen.
Daniel,fried chicken,last year,at the cafe,Daniel ate fried chicken last year at the cafe.
Elizabeth,fried chicken,last Sunday,in the station,Elizabeth ate fried chicken last Sunday in the station.
Joseph,soup,last night,at the mall,Joseph ate soup last night at the mall.
Claire,falafel,this weekend,at the restaurant,Claire ate falafel this weekend at the restaurant.
Mark,soup,lately,at the restaurant,Mark ate soup lately at the restaurant.
Sam,fried chicken,last winter,in the station,Sam ate fried chicken last winter in the station.
Chris,lasagna,last spring,in the office,Chris ate lasagna last spring in the office.
David,curry,today,at the cafe,David ate curry today at the cafe.
Elizabeth,pasta,last Monday,in the office,Elizabeth ate pasta last Monday in the office.
Linda,cereal,last summer,at the mall,Linda ate cereal last summer at the mall.
Elizabeth,bread,last spring,on the rooftop,Elizabeth ate bread last spring on the rooftop.
Sarah,hot dog,this morning,at the cafe,Sarah ate hot dog this morning at the cafe.
James,potatoes,last Tuesday,at the cafe,James ate potatoes last Tuesday at the cafe.
Lucas,ravioli,last night,in the kitchen,Lucas ate ravioli last night in the kitchen.
Olivia,soup,last Monday,in the station,Olivia ate soup last Monday in the station.
Thomas,wok,recently,at the cafe,Thomas ate wok recently at the cafe.
James,steak,last Saturday,in the station,James ate steak last Saturday in the station.
Lauren,hamburger,one hour ago,at the mall,Lauren ate hamburger one hour ago at the mall.
Thomas,pasta,two hours ago,in the station,Thomas ate pasta two hours ago in the station.
Sarah,spaghetti,last Friday,in the kitchen,Sarah ate spaghetti last Friday in the kitchen.
William,salad,last week,at the restaurant,William ate salad last week at the restaurant.
Julia,pasta,one hour ago,at the restaurant,Julia ate pasta one hour ago at the restaurant.
Ben,salad,last Thursday,on the rooftop,Ben ate salad last Thursday on the rooftop.
Ben,waffles,last Tuesday,in the station,Ben ate waffles last Tuesday in the station.
Robert,noodle,last Tuesday,at the cafe,Robert ate noodle last Tuesday at the cafe.
Jason,nachos,this weekend,on the rooftop,Jason ate nachos this weekend on the rooftop.
Daniel,curry,today,at the restaurant,Daniel ate curry today at the restaurant.
Ben,sushi,recently,in the park,Ben ate sushi recently in the park.
Matthew,pizza,last night,on the rooftop,Matthew ate pizza last night on the rooftop.
Thomas,pasta,last spring,at the school,Thomas ate pasta last spring at the school.
Joseph,pizza,last fall,in the station,Joseph ate pizza last fall in the station.
Robert,sandwich,this evening,in the office,Robert ate sandwich this evening in the office.
Elizabeth,apple pie,last month,in the station,Elizabeth ate apple pie last month in the station.
Emily,tacos,two hours ago,in the station,Emily ate tacos two hours ago in the station.
Elizabeth,noodle,last Sunday,in the station,Elizabeth ate noodle last Sunday in the station.
Mark,salad,this weekend,at the mall,Mark ate salad this weekend at the mall.
Ethan,doughnuts,last month,in the station,Ethan ate doughnuts last month in the station.
Jason,chicken wings,last year,at the school,Jason ate chicken wings last year at the school.
John,fish,today,in the office,John ate fish today in the office.
John,carbonara,last month,in the office,John ate carbonara last month in the office.
Matthew,cereal,last year,at the restaurant,Matthew ate cereal last year at the restaurant.
Sophie,lasagna,last Monday,in the station,Sophie ate lasagna last Monday in the station.
Emily,curry,this weekend,in the office,Emily ate curry this weekend in the office.
Emily,bread,this morning,at the school,Emily ate bread this morning at the school.
Hannah,sushi,last fall,in the office,Hannah ate sushi last fall in the office.
William,bread,last night,in the office,William ate bread last night in the office.
Chris,curry,last winter,at the cafe,Chris ate curry last winter at the cafe.
Alice,bread,this afternoon,in the office,Alice ate bread this afternoon in the office.
Joseph,curry,last summer,in the park,Joseph ate curry last summer in the park.
Lauren,soup,this morning,at the cafe,Lauren ate soup this morning at the cafe.
Alice,hot dog,lately,in the garden,Alice ate hot dog lately in the garden.
Richard,beef,last spring,on the rooftop,Richard ate beef last spring on the rooftop.
Julia,tacos,this evening,at the mall,Julia ate tacos this evening at the mall.
Hannah,chicken wings,last Sunday,at the mall,Hannah ate chicken wings last Sunday at the mall.
Michael,soup,today,in the kitchen,Michael ate soup today in the kitchen.
Charles,beef,this morning,in the garden,Charles ate beef this morning in the garden.
Sam,potatoes,two hours ago,in the office,Sam ate potatoes two hours ago in the office.
Sarah,carbonara,last Friday,in the station,Sarah ate carbonara last Friday in the station.
Julia,ravioli,last winter,in the kitchen,Julia ate ravioli last winter in the kitchen.
Kimberly,banana,lately,in the park,Kimberly ate banana lately in the park.
Michael,curry,two hours ago,in the office,Michael ate curry two hours ago in the office.
Robert,beef,last Sunday,in the kitchen,Robert ate beef last Sunday in the kitchen.
Ben,salad,one hour ago,in the kitchen,Ben ate salad one hour ago in the kitchen.
Ben,soup,last Friday,at the cafe,Ben ate soup last Friday at the cafe.
Thomas,curry,last week,in the station,Thomas ate curry last week in the station.
Lauren,nachos,lately,in the garden,Lauren ate nachos lately in the garden.
Matthew,waffles,last Wednesday,at the restaurant,Matthew ate waffles last Wednesday at the restaurant.
Jennifer,sandwich,last Sunday,in the park,Jennifer ate sandwich last Sunday in the park.
Richard,banana,last year,at the mall,Richard ate banana last year at the mall.
Joseph,waffles,yesterday,at the school,Joseph ate waffles yesterday at the school.
Alice,spaghetti,today,in the office,Alice ate spaghetti today in the office.
Olivia,sushi,last Friday,at the cafe,Olivia ate sushi last Friday at the cafe.
John,carbonara,last night,at the restaurant,John ate carbonara last night at the restaurant.
Karen,rice,last Monday,at the school,Karen ate rice last Monday at the school.
William,burrito,this evening,at the restaurant,William ate burrito this evening at the restaurant.
Ethan,falafel,last week,at the mall,Ethan ate falafel last week at the mall.
Hannah,wok,last winter,at the mall,Hannah ate wok last winter at the mall.
Jason,lasagna,last Friday,in the station,Jason ate lasagna last Friday in the station.
Anna,wok,this evening,at the cafe,Anna ate wok this evening at the cafe.
Ethan,pasta,last week,at the restaurant,Ethan ate pasta last week at the restaurant.
Hannah,carbonara,last Sunday,at the cafe,Hannah ate carbonara last Sunday at the cafe.
Matthew,rice,last Friday,on the rooftop,Matthew ate rice last Friday on the rooftop.
Joseph,beef,last night,in the office,Joseph ate beef last night in the office.
Daniel,bagel,last Wednesday,in the kitchen,Daniel ate bagel last Wednesday in the kitchen.
Alice,apple pie,last winter,at the restaurant,Alice ate apple pie last winter at the restaurant.
Richard,fish,last week,on the rooftop,Richard ate fish last week on the rooftop.
Karen,bread,last night,on the rooftop,Karen ate bread last night on the rooftop.
Richard,chicken wings,yesterday,at the cafe,Richard ate chicken wings yesterday at the cafe.
Ethan,pizza,last fall,in the station,Ethan ate pizza last fall in the station.
Lisa,rice,last Thursday,at the restaurant,Lisa ate rice last Thursday at the restaurant.
Sam,rice,last fall,in the park,Sam ate rice last fall in the park.
Sarah,toast,last Friday,at the cafe,Sarah ate toast last Friday at the cafe.
Elizabeth,carbonara,last Tuesday,in the station,Elizabeth ate carbonara last Tuesday in the station.
Jessica,bagel,last summer,in the office,Jessica ate bagel last summer in the office.
Sarah,steak,today,in the kitchen,Sarah ate steak today in the kitchen.
Claire,chicken wings,this weekend,at the restaurant,Claire ate chicken wings this weekend at the restaurant.
Thomas,waffles,this evening,in the office,Thomas ate waffles this evening in the office.
Emily,cake,last Saturday,at the mall,Emily ate cake last Saturday at the mall.
Charles,cereal,last winter,on the rooftop,Charles ate cereal last winter on the rooftop.
Robert,noodle,this afternoon,in the station,Robert ate noodle this afternoon in the station.
Karen,apple pie,yesterday,on the rooftop,Karen ate apple pie yesterday on the rooftop.
Karen,toast,last Wednesday,on the rooftop,Karen ate toast last Wednesday on the rooftop.
Mark,pizza,one hour ago,on the rooftop,Mark ate pizza one hour ago on the rooftop.
Sarah,sushi,recently,in the kitchen,Sarah ate sushi recently in the kitchen.
Paul,rice,last week,at the mall,Paul ate rice last week at the mall.
Alice,fish,last spring,in the park,Alice ate fish last spring in the park.
Matthew,spaghetti,last Tuesday,in the park,Matthew ate spaghetti last Tuesday in the park.
Chris,ravioli,last winter,at the cafe,Chris ate ravioli last winter at the cafe.
Paul,banana,this weekend,in the garden,Paul ate banana this weekend in the garden.
Charles,spaghetti,yesterday,on the rooftop,Charles ate spaghetti yesterday on the rooftop.
Anna,carbonara,last night,at the restaurant,Anna ate carbonara last night at the restaurant.
Thomas,doughnuts,this evening,in the garden,Thomas ate doughnuts this evening in the garden.
Claire,curry,last week,at the school,Claire ate curry last week at the school.
Joseph,beef,last Monday,at the cafe,Joseph ate beef last Monday at the cafe.
Alice,hot dog,two hours ago,in the park,Alice ate hot dog two hours ago in the park.
Jason,sushi,two hours ago,in the office,Jason ate sushi two hours ago in the office.
Richard,ravioli,last Friday,in the kitchen,Richard ate ravioli last Friday in the kitchen.
Mary,fish,this weekend,in the kitchen,Mary ate fish this weekend in the kitchen.
Hannah,bread,last spring,in the office,Hannah ate bread last spring in the office.
William,doughnuts,last Saturday,at the mall,William ate doughnuts last Saturday at the mall.
Mark,sandwich,last summer,at the mall,Mark ate sandwich last summer at the mall.
Thomas,doughnuts,last fall,in the office,Thomas ate doughnuts last fall in the office.
Daniel,apple pie,last spring,in the park,Daniel ate apple pie last spring in the park.
Daniel,cereal,this weekend,in the park,Daniel ate cereal this weekend in the park.
Ben,cereal,this weekend,at the cafe,Ben ate cereal this weekend at the cafe.
Ben,steak,this morning,in the park,Ben ate steak this morning in the park.
Julia,potatoes,last Saturday,at the cafe,Julia ate potatoes last Saturday at the cafe.
Karen,potatoes,last Thursday,in the kitchen,Karen ate potatoes last Thursday in the kitchen.
Daniel,omelette,this morning,at the mall,Daniel ate omelette this morning at the mall.
Kimberly,steak,last year,at the restaurant,Kimberly ate steak last year at the restaurant.
James,fried chicken,lately,in the kitchen,James ate fried chicken lately in the kitchen.
Richard,hamburger,yesterday,at the school,Richard ate hamburger yesterday at the school.
Emily,carbonara,last Saturday,on the rooftop,Emily ate carbonara last Saturday on the rooftop.
Anna,spaghetti,last Thursday,on the rooftop,Anna ate spaghetti last Thursday on the rooftop.
Jessica,bread,last month,at the cafe,Jessica ate bread last month at the cafe.
